TeamName,MP,Won,Draw,Lost
Argentina,3,0,1,2
Australia,7,4,0,3
Brazil,3,1,1,1
Canada,3,1,1,1
China,3,1,0,2
Colombia,5,3,0,2
Costa Rica,3,0,0,3
Denmark,4,2,0,2
England,7,6,0,1
France,5,3,1,1
Germany,3,1,1,1
Haiti,3,0,0,3
Italy,3,0,1,2
Jamaica,4,1,2,1
Japan,5,4,0,1
Morocco,4,2,0,2
Netherlands,5,3,2,0
New Zealand,3,1,1,1
Nigeria,4,1,3,0
Norway,4,1,1,2
Panama,3,0,0,3
Phillipines,3,1,0,2
Portugal,3,1,1,1
Republic of Ireland,3,0,1,2
South Africa,4,1,1,2
South Korea,3,0,1,2
Spain,7,6,0,1
Sweden,7,6,0,1
Switzerland,4,1,3,0
USA,4,1,3,0
Vietnam,3,0,0,3
Zambia,3,1,0,2
